date,id,company,title,salary,fixed_overtime,verdict,status,notes
2026-09-01,156672,BREXA Technology,開発,386-700万,-,❌,未選定,技術者派遣及び開発請負と明記。客先常駐
2026-09-01,165527,AKKODiSコンサルティング,開発,390-907万,-,❌,未選定,客先常駐明記（関東・中部・関西）
2026-09-01,174193,システムアイ,フルスタック,400-1200万,-,❌,未選定,SHIFTグループ。Webアプリ3年必須
2026-09-01,195079,SI＆C,Webアプリ,500-1200万,-,❌,未選定,開発5年必須＋詳細設計自立
2026-09-01,202654,マンパワーグループ,Webエンジニア（実体RPA）,311万〜,-,❌,未選定,タイトルはWebだが実体はRPAシナリオ2年。前職のRPA UI開発とは別物
2026-09-01,211218,エスユーエス,PG/SE,312万〜,-,❌,未選定,技術者派遣明記（お客様（派遣）先で勤務）
2026-09-01,213305,ベース,PM,450-790万,-,❌,未選定,PM職・IT実務3年＋専門性。経験不足
2026-09-01,216484,テクノプロエンジニアリング,PM/PL/PMO,240万〜,-,❌,未選定,第二新卒枠・年収240万＝基準外
2026-09-01,216508,イグニションポイントフォース,SE,400-600万,-,❌,未選定,設計〜運用の全フェーズ必須・面接3回。自社新規事業＋受託。経験不足
2026-09-02,95837,ボールド,クラウド/インフラ,400-1120万,20h,❌,未選定,常駐先明記（SES系）。サーバ/ネット/クラウドの運用・構築1-3年必須＝インフラ実務ゼロで交差せず
2026-09-02,178279,H.R.I,クラウド,400-1000万,-,❌,未選定,客先常駐明記・稼働率98%＝SES指標。AWS/Azure実務1年必須
2026-09-02,150805,エーピーコミュニケーションズ,クラウド,500-800万,-,⚠️,未選定,フルリモート可。必須4択の④「ツール開発経験」でC#が交差する可能性。業務はクラウドインフラ構築。挑戦枠
2026-09-02,132785,アイソルート,クラウド/Web,510-680万,-,⚠️,未選定,パッケージ開発・自社。Webアプリ1年＋クラウド環境の経験。歓迎にAWS資格（3冠と一致）。クラウド環境経験の扱いを確認。挑戦枠
2026-09-02,129140,アジアクエスト,クラウド,405-800万,20h,❌,未選定,インフラ設計・構築1年必須。DXコンサル系
2026-09-02,141690,日立ソリューションズ・クリエイト,クラウド,450-700万,-,❌,未選定,日立系SIerだがインフラ基盤構築3年必須。交差せず
2026-09-02,104165,ニッセイ情報テクノロジー,クラウド/ワークフロー,570-900万,-,❌,未選定,生命保険開発経験＋クラウド移行経験必須。損保は別物。面接1回
2026-09-02,57223,日創工業,クラウド,400-700万,0h,❌,未選定,ITインフラ3年必須。客先常駐の可能性あり
2026-09-02,147346,ハマゴムエイコム,クラウド,413-550万,-,❌,未選定,客先常駐明記・サーバー構築2年必須・SPIあり
2026-09-02,135542,エイトビット,クラウド/インフラ,480-660万,20h,❌,未選定,人材支援事業（SES系）。サーバー設計3年＋AWS3年＋コンテナ必須
